date,keyword,country_code,interest_score,z_score
2019-10-01,criptomonedas,CL,9,-1.12045080053765
2019-10-01,fintech,CL,30,-1.02395321855581
2019-10-01,tarjeta virtual,CL,32,-0.740101883408786
2019-10-01,Plin,CO,44,-0.335192106574964
2019-10-01,Yape,CO,13,-0.834240671707991
2019-10-01,criptomonedas,CO,14,-0.830721968115869
2019-10-01,fintech,CO,51,-0.379482067166414
2019-10-01,Plin,MX,19,-1.03194758775142
2019-10-01,Yape,MX,17,-0.865131431949953
2019-10-01,criptomonedas,MX,16,-1.01427302964056
2019-10-01,fintech,MX,78,0.544047556907985
2019-10-01,pagos digitales,MX,19,-1.58071753784269
2019-10-01,tarjeta virtual,MX,44,-1.47914109081336
2019-10-01,Plin,PE,7,-1.54740771396351
2019-10-01,Yape,PE,7,-1.33473110024162
2019-10-01,criptomonedas,PE,22,-0.735819036143063
2019-10-01,fintech,PE,91,1.6957878824781
2019-10-01,tarjeta virtual,PE,14,-1.4783921986403
2019-11-01,Plin,CL,35,-0.582337760177587
2019-11-01,criptomonedas,CL,18,-0.703376479884259
2019-11-01,fintech,CL,20,-1.52461353305396
2019-11-01,tarjeta virtual,CL,33,-0.67749766847386
2019-11-01,Plin,CO,41,-0.465116126645614
2019-11-01,Yape,CO,14,-0.790092898935123
2019-11-01,criptomonedas,CO,16,-0.726345541829365
2019-11-01,fintech,CO,54,-0.132875026485569
2019-11-01,Plin,MX,21,-0.93957214458054
2019-11-01,criptomonedas,MX,17,-0.965108400713762
2019-11-01,fintech,MX,63,-0.640310444710789
2019-11-01,pagos digitales,MX,20,-1.52615849280131
2019-11-01,tarjeta virtual,MX,48,-1.25265488288598
2019-11-01,Plin,PE,6,-1.59838278757332
2019-11-01,Yape,PE,9,-1.26633140187894
2019-11-01,criptomonedas,PE,24,-0.638155782254984
2019-11-01,fintech,PE,83,1.07798368823779
2019-11-01,tarjeta virtual,PE,15,-1.43830206843943
2019-12-01,Plin,CL,25,-1.05051679644371
2019-12-01,Yape,CL,16,-0.873488884490917
